date,product_name,price
2024-09-05,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,19.54
2024-09-05,Filé Sassami de Peito de Frango Congelado Sadia 1Kg,22.09
2024-09-05,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-05,Pedaços de Sobrecoxa de Frango Congelado Sadia 1Kg,13.19
2024-09-05,"Picanha Fatiada à Vácuo Carrefour Aprox 1,5 Kg",57.59
2024-09-05,"Filé Mignon à Vácuo Aprox. 2,5 Kg",191.98
2024-09-05,Cordão de Filé Mignon á Vacuo,28.39
2024-09-05,Contra Filé Peça à Vácuo Aprox. 4Kg,174.06
2024-09-05,Alcatra Miolo Peça Vácuo Aprox. 4kg,166.36
2024-09-05,Patinho Bovino Carrefour Aproximadamente 1 kg,41.89
2024-09-05,Patinho Bovino Moído Congelado Swift Light 500 g,20.9
2024-09-05,Paleta e Músculo Reserva 600g,16.14
2024-09-05,Bife de Fígado Congelado Swift Aproximadamente 700 g,13.28
2024-09-05,"Cupim Bovino Carrefour Aproximadamente 2,5 Kg",83.23
2024-09-05,"Fraldinha à Vácuo 1,5 Kg",47.39
2024-09-05,"Maminha Swift Mais Aprox. 1,8Kg",84.56
2024-09-05,Acém Bovino Fracionado à Vácuo 600g,21.23
2024-09-05,"Lagarto Peça à Vácuo Aprox. 3,5Kg",111.62
2024-09-05,"Ossobuco Swift Aproximadamente 1,2 Kg",31.18
2024-09-05,Capa de Filé à Vácuo Aprox. 2 Kg,60.98
2024-09-05,"Lombo Suíno Assa Fácil Swift Aprox. 1,4Kg",44.77
2024-09-05,Pernil Suíno Resfriado sem Osso Aprox. 500g,21.98
2024-09-05,"Costela Suína Swift Aproximadamente 1,5 Kg",34.47
2024-09-05,Linguiça Calabresa Perdigão 400 g,14.99
2024-09-05,Linguiça Fina De Calabresa Apimentada  Perdigão 400g,22.89
2024-09-05,Bacon Defumado Sadia Aprox. 360g,12.2
2024-09-05,Lombo Suíno Assa Fácil Congelado Sadia Aproximadamente 750 g,13.49
2024-09-05,Lombo de Bacalhau sem Espinha Swift 1Kg,120.98
2024-09-05,Lombo Fatiado Especial em Cortes Resfriado Carrefour Aprox. 750g,20.99
2024-09-05,Lombo Canadense Ceratti Aprox. 120g,6.53
2024-09-05,Lombo Suíno Temperado Swift Aproximadamente 900 g,22.05
2024-09-05,Lombo Defumado Fatiado Aurora Aproximadamente 120 g,6.47
2024-09-05,Lombo De Pirarucu Swift 300 g,24.98
2024-09-05,Lombo Suíno Levissimo Seara Aprox. 200 g,7.65
2024-09-05,Lombo Cozido Defumado Apimentado Prieto Aprox. 120 g,9.32
2024-09-05,Pedaços de Frango Coxinha da Asa Congelada com Osso Sadia 1Kg,16.19
2024-09-05,Pedaços de Sobrecoxa de Frango Congelado Seara 1Kg,14.99
2024-09-05,G Tadalafila 5Mg 30C Omp Ems,16.9
2024-09-05,"Pernil de Cordeiro Uruguai Carrefour Aproximadamente 1,8 Kg",152.98
2024-09-05,G Nimesulida 100Mg 1 2Comp Ems,10.69
2024-09-05,Linguiça Toscana Swift 700 g,17.98
2024-09-05,Linguiça Toscana Swift Fina 500 g,18.98
2024-09-05,Leite em Pó Integral Piracanjuba 1kg,46.39
2024-09-05,Leite Semidesnatado Piracanjuba 1 Litro,4.99
2024-09-05,Leite UHT Tipo A2A2 Semidesnatado Zero Lactose Piracanjuba 1L,10.49
2024-09-05,Leite Condensado Semidesnatado Piracanjuba Caixa 395g,7.99
2024-09-05,Leite Semidesnatado UHT Tipo A2A2 Piracanjuba 1L,6.49
2024-09-05,Leite UHT Desnatado Piracanjuba + Fibras 1L,8.59
2024-09-05,Leite em Pó Piracanjuba Integral Instantâneo 400g,16.39
2024-09-05,Leite em Pó Piracanjuba Integral Pouch 800g,42.49
2024-09-05,Leite em Pó Piracanjuba Integral 400g,19.99
