date,product_name,price
2024-09-04,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-09-04,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-09-04,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-04,Pedaços de Sobrecoxa de Frango Congelado Sadia 1Kg,13.99
2024-09-04,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-04,"Picanha Fatiada à Vácuo Carrefour Aprox 1,5 Kg",57.59
2024-09-04,"Filé Mignon à Vácuo Aprox. 2,5 Kg",191.98
2024-09-04,Cordão de Filé Mignon á Vacuo,28.39
2024-09-04,Contra Filé Peça à Vácuo Aprox. 4Kg,177.16
2024-09-04,Alcatra Miolo Peça Vácuo Aprox. 4kg,166.36
2024-09-04,Coxão Duro Moído Carrefour Aproximadamente 500 g,21.24
2024-09-04,Patinho Bovino Carrefour Aproximadamente 1 kg,41.89
2024-09-04,Patinho Bovino Moído Congelado Swift Light 500 g,20.9
2024-09-04,Paleta e Músculo Reserva 600g,16.14
2024-09-04,Bife de Fígado Congelado Swift Aproximadamente 700 g,13.28
2024-09-04,"Cupim Bovino Carrefour Aproximadamente 2,5 Kg",83.23
2024-09-04,"Fraldinha à Vácuo 1,5 Kg",49.34
2024-09-04,"Maminha Swift Mais Aprox. 1,8Kg",84.56
2024-09-04,Acém Bovino Fracionado à Vácuo 600g,14.34
2024-09-04,"Lagarto Peça à Vácuo Aprox. 3,5Kg",111.62
2024-09-04,"Ossobuco Swift Aproximadamente 1,2 Kg",31.18
2024-09-04,Capa de Filé à Vácuo Aprox. 2 Kg,60.98
2024-09-04,"Lombo Suíno Assa Fácil Swift Aprox. 1,4Kg",44.77
2024-09-04,Filé Mignon Suíno Temperado Resfriado Aprox. 900 g,28.52
2024-09-04,Linguiça Calabresa Perdigão 400 g,14.99
2024-09-04,Linguiça Fina De Calabresa Apimentada  Perdigão 400g,22.89
2024-09-04,Bacon Defumado Sadia Aprox. 360g,12.2
2024-09-04,Lombo Suíno Assa Fácil Congelado Sadia Aproximadamente 750 g,13.49
2024-09-04,Lombo Fatiado Especial em Cortes Resfriado Carrefour Aprox. 750g,20.99
2024-09-04,Lombo Canadense Ceratti Aprox. 120g,6.53
2024-09-04,"Lombo Suíno Assa Fácil Swift Aprox. 1,4Kg",44.77
2024-09-04,Lombo Suíno Temperado Swift Aproximadamente 900 g,22.05
2024-09-04,Lombo De Pirarucu Swift 300 g,24.98
2024-09-04,Lombo Suíno Levissimo Seara Aprox. 200 g,7.65
2024-09-04,Lombo Cozido Defumado Apimentado Prieto Aprox. 120 g,9.32
2024-09-04,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-04,Pedaços de Sobrecoxa de Frango Congelado Sadia 1Kg,13.99
2024-09-04,Pedaços de Sobrecoxa de Frango Congelado Seara 1Kg,14.99
2024-09-04,G Tadalafila 5Mg 30C Omp Ems,16.9
2024-09-04,"Pernil de Cordeiro Uruguai Carrefour Aproximadamente 1,8 Kg",152.98
2024-09-04,G Nimesulida 100Mg 1 2Comp Ems,10.69
