date,product_name,price
2024-08-30,Leite Condensado Integral Carrefour Classic 12 Unidades de 395g,77.99
2024-08-30,Leite Desnatado UHT Italac 1 Litro,4.99
2024-08-30,Leite Condensado Semidesnatado MOÇA Caixinha 395g,8.99
2024-08-30,Leite UHT Desnatado Piracanjuba + Fibras 1L,5.99
2024-08-30,Leite UHT Desnatado Piracanjuba + Cálcio 1L,5.99
2024-08-30,Leite UHT Desnatado Zero Lactose Piracanjuba 1L,5.99
2024-08-30,Leite Semidesnatado Piracanjuba 1 Litro,4.99
2024-08-30,Leite UHT Tipo A2A2 Semidesnatado Zero Lactose Piracanjuba 1L,6.49
2024-08-30,Leite Semidesnatado UHT Tipo A2A2 Piracanjuba 1L,6.49
2024-08-30,Leite em Pó Piracanjuba Integral Instantâneo 400g,16.39
2024-08-30,Leite em Pó Instantâneo Desnatado Piracanjuba Pacote 400 g,19.29
2024-08-30,Leite em Pó Piracanjuba Integral 400g,17.49
2024-08-30,Leite em Pó Piracanjuba Integral Pouch 800g,42.49
2024-08-30,Leite em Pó Integral Piracanjuba 1kg,46.39
2024-08-30,Leite Integral UHT Ninho Forti+ Vitaminado 1 L,5.99
2024-08-30,Leite UHT Integral Carrefour Classic 1L,4.89
2024-08-30,Leite Condensado Integral Carrefour Classic 395g,6.19
2024-08-30,Leite Condensado MOÇA Lata 395g,9.99
2024-08-30,Leite Semidesnatado UHT Ninho Levinho Vitaminado 1 L,5.99
2024-08-30,Leite Em Pó Ninho Integral Lata 380g,21.39
2024-08-30,Leite Condensado Integral Carrefour Classic 12 Unidades de 395g,77.99
2024-08-30,Leite Desnatado UHT Italac 1 Litro,4.99
2024-08-30,Leite Condensado Semidesnatado MOÇA Caixinha 395g,8.99
2024-08-30,Leite Semidesnatado Piracanjuba 1 Litro,4.99
2024-08-30,Leite Em Pó Ninho Integral Lata 380g,21.39
2024-08-30,Kit Leite em Pó Ninho Integral Lata 380g 4 Unidades,91.29
2024-08-30,Manteiga com Sal Président Tablete 200g,14.99
2024-08-30,Manteiga sem Sal Président Tablete 200g,13.39
2024-08-30,Queijo Parmesao President 180g,17.9
2024-08-30,Queijo Parmesão Cilindro Président 180g,28.09
2024-08-30,Queijo Parmesão Président Aprox. 180g,26.99
2024-08-30,Queijo Parmesão Ralado Président 100g,16.59
2024-08-30,Queijo Mussarela Lac Lelo 400 g,32.39
2024-08-30,Queijo Parmesão Fracionado Tania Aproximadamente 200 g,18.59
2024-08-30,Queijo Provolone Defumado Fracionado Président Aprox 200g,20.61
2024-08-30,Queijo Muçarela Fatiado President 150g,9.89
2024-08-30,Queijo Parmesão Ralado Président 100g,16.59
2024-08-30,Queijo Mussarela Fatiado President 1kg,58.99
